Team,Top_Scorer_Points,Top_3_Avg_Points,Team_Avg_Success_%,Team_Avg_Errors,Num_Players_150+,Offense_Score
BEL,135.0,107.0,39.733333333333334,13.25,0.0,42.51466666666666
BRA,147.0,113.66666666666667,43.988571428571426,8.947368421052632,0.0,50.000342857142854
BUL,129.0,103.0,32.00533333333333,12.25,0.0,32.96549333333333
CAN,98.0,88.0,47.90071428571429,11.666666666666666,0.0,42.15262857142857
CHN,178.0,145.66666666666666,44.7175,9.529411764705882,2.0,65.13849166666667
CZE,162.0,137.66666666666666,36.065384615384616,12.588235294117647,1.0,49.65001282051282
DOM,181.0,141.66666666666666,39.24,12.117647058823529,2.0,55.59
FRA,190.0,137.66666666666666,36.811764705882354,11.904761904761905,1.0,50.6775294117647
GER,170.0,110.0,36.826875,12.88888888888889,1.0,40.5095625
ITA,145.0,104.66666666666667,49.25785714285714,8.722222222222221,0.0,51.556557142857145
JPN,166.0,156.66666666666666,40.675000000000004,9.0,2.0,63.72416666666667
KOR,140.0,108.0,34.45333333333333,17.4,0.0,37.2096
NED,152.0,106.0,39.84571428571428,11.0,1.0,42.236457142857134
POL,137.0,113.0,45.923571428571435,11.470588235294118,0.0,51.89363571428572
SRB,120.0,98.66666666666667,38.289375,11.857142857142858,0.0,37.77885
THA,144.0,101.33333333333333,37.596428571428575,10.38888888888889,0.0,38.09771428571429
TUR,96.0,91.66666666666667,39.92444444444445,9.19047619047619,0.0,36.59740740740741
USA,117.0,102.33333333333333,39.691,8.92,0.0,40.61712333333334
